Collar,latitude,longitude,Altitude,Temp,AnimalTitle,GMT_Stamp,timestamp,pre_lon,pre_lat,pre_time,step,delta,speed_ms,bearing,turn_angle,behavior
38056.0,41.8360647,-88.1550478,211.65,0,Coyote - Cantigny 38056 (F),1459670000000.0,2016-04-03 08:00:31,-88.1551317,41.8543811,2016-04-03 06:01:30,2034.419592118152,7141.0,0.28489281502844865,179.80446167527705,110.42157486353842,Traveling
38058.0,41.8268581,-88.2605839,187.63,22,Coyote - Fermi 38058,1459720000000.0,2016-04-03 21:00:29,-88.1550478,41.8360647,2016-04-03 08:00:31,8826.21669016202,46798.0,0.18860243365447285,263.3574801927866,83.55301851750957,Traveling
38058.0,41.8267925,-88.2605131,186.74,22,Coyote - Fermi 38058,1459720000000.0,2016-04-03 23:00:21,-88.2605839,41.8268581,2016-04-03 21:00:29,9.36392263779706,7192.0,0.0013019914679918048,141.19263171358114,122.16484847920549,Resting
151326.0,41.92464,-88.3733589,226.42,18,Coyote - Thornwood 151326 (F),1680490000000.0,2023-04-03 04:00:33,-88.2605131,41.8267925,2016-04-03 23:00:21,,220770012.0,6.499055699953265e-05,319.3840484981831,178.19141678460198,nan
151325.0,41.9596586,-88.3543256,200.62,22,Coyote - Thornwood 151325 (M),1680540000000.0,2023-04-03 16:00:57,-88.3733589,41.92464,2023-04-03 04:00:33,4197.631920662378,43224.0,0.09711345365219273,22.006181586877176,62.622133088694056,Traveling
151325.0,41.9595714,-88.3543203,218.85,25,Coyote - Thornwood 151325 (M),1680550000000.0,2023-04-03 20:01:05,-88.3543256,41.9596586,2023-04-03 16:00:57,9.695483280704279,14408.0,0.0006729236036024625,177.41216998965436,155.40598840277718,Resting
151324.0,41.9479528,-88.0184728,194.56,3,Coyote - East Branch 151324,1712120000000.0,2024-04-03 04:00:33,-88.3543203,41.9595714,2023-04-03 20:01:05,,31564768.0,0.0008831120260322091,92.55110656595689,84.86106342369747,nan
301434000000000.0,40.565678,-89.410425,205.0,26,Coyote - Morton MA06 ,1743650000000.0,2025-04-03 04:00:00,-88.0184728,41.9479528,2024-04-03 04:00:33,,31535967.0,0.006113729542653302,217.58763619139543,125.03652962543855,nan
301434000000000.0,40.565908,-89.412192,207.0,29,Coyote - Morton MA06 ,1743700000000.0,2025-04-03 16:00:00,-89.410425,40.565678,2025-04-03 04:00:00,151.80220402178716,43200.0,0.00351393990791174,279.7235182056286,62.13588201423315,Foraging
301434000000000.0,40.191756,-88.064869,202.0,26,Coyote - Champaign MA05 ,1743710000000.0,2025-04-03 20:00:00,-89.412192,40.565908,2025-04-03 16:00:00,,14400.0,8.452977485994852,109.59162407114113,170.13189413448745,nan
301434000000000.0,40.192028,-88.064561,233.0,26,Coyote - Champaign MA05 ,1743680000000.0,2025-04-03 12:00:00,-88.064869,40.191756,2025-04-03 20:00:00,40.00087642285042,-28800.0,-0.0013889193202378618,40.85938156815295,68.73224250298819,Resting
38058.0,41.8270497,-88.2558103,189.31,5,Coyote - Fermi 38058,1459790000000.0,2016-04-04 17:00:29,-88.064561,40.192028,2025-04-03 12:00:00,,-283892371.0,-0.0006420992368172763,355.01838342649785,45.84099814165512,nan
38058.0,41.8277253,-88.2613197,189.45,19,Coyote - Fermi 38058,1459760000000.0,2016-04-04 08:00:17,-88.2558103,41.8270497,2016-04-04 17:00:29,463.80007390788217,-32412.0,-0.014309517274709433,279.34695516326633,75.67142826323152,Foraging
38058.0,41.8275322,-88.2588439,189.4,20,Coyote - Fermi 38058,1459800000000.0,2016-04-04 21:00:48,-88.2613197,41.8277253,2016-04-04 08:00:17,206.78980612056068,46831.0,0.004415660697413266,95.97454021846919,176.62758505520287,Foraging
38058.0,41.8235322,-88.2524258,189.52,7,Coyote - Fermi 38058,1459810000000.0,2016-04-04 23:00:08,-88.2588439,41.8275322,2016-04-04 21:00:48,694.0322261309741,7160.0,0.09693187515795727,129.9056031460441,33.9310629275749,Foraging
151325.0,41.9482914,-88.3498675,212.56,13,Coyote - Thornwood 151325 (M),1680620000000.0,2023-04-04 16:00:51,-88.2524258,41.8235322,2016-04-04 23:00:08,,220813243.0,7.266126418539639e-05,329.8560586831207,160.0495444629234,nan
151326.0,41.9852483,-88.3189769,219.7,9,Coyote - Thornwood 151326 (F),1680600000000.0,2023-04-04 08:00:33,-88.3498675,41.9482914,2023-04-04 16:00:51,4838.0872166276,-28818.0,-0.16788421183383997,31.85002047258018,61.99396178945949,Traveling
151325.0,41.9551069,-88.3581744,214.03,21,Coyote - Thornwood 151325 (M),1680640000000.0,2023-04-04 20:01:06,-88.3189769,41.9852483,2023-04-04 08:00:33,4665.26817181492,43233.0,0.10790988762785186,224.04835521383572,167.80166525874446,Traveling
