Collar,Latitude,Longitude,Altitude,Temp,AnimalTitle,GMT_Stamp,GMT_Formatted
38057,41.8501536,-88.1153378,192.45,21,Coyote - Danada 38057,1.43253E+12,May 25 2015 05:02:00 AM
38057,41.8501281,-88.1153264,192.63,21,Coyote - Danada 38057,1.43253E+12,May 25 2015 05:03:12 AM
38055,41.8523247,-88.1652289,205.01,21,Coyote - Cantigny 38055 (M),1.43253E+12,May 25 2015 05:03:20 AM
38056,41.8522344,-88.1648969,214.69,26,Coyote - Cantigny 38056 (F),1.43253E+12,May 25 2015 05:05:09 AM
38057,41.8501114,-88.1150861,193.2,21,Coyote - Danada 38057,1.43253E+12,May 25 2015 05:06:00 AM
38055,41.8524406,-88.1654528,199.63,20,Coyote - Cantigny 38055 (M),1.43253E+12,May 25 2015 05:06:10 AM
38056,41.8522214,-88.1649208,213.31,26,Coyote - Cantigny 38056 (F),1.43253E+12,May 25 2015 05:06:48 AM
38057,41.8500347,-88.1139881,180.21,21,Coyote - Danada 38057,1.43253E+12,May 25 2015 05:12:08 AM
38055,41.8523767,-88.165395,201.54,21,Coyote - Cantigny 38055 (M),1.43253E+12,May 25 2015 05:12:16 AM
38056,41.8522994,-88.1654472,250.09,25,Coyote - Cantigny 38056 (F),1.43253E+12,May 25 2015 05:13:41 AM
38057,41.8281286,-88.1209583,193.39,30,Coyote - Danada 38057,1.43259E+12,May 25 2015 09:00:29 PM
38055,41.8462964,-88.1703014,195.66,31,Coyote - Cantigny 38055 (M),1.43259E+12,May 25 2015 09:00:29 PM
38055,41.8464058,-88.1702631,198.6,28,Coyote - Cantigny 38055 (M),1.43259E+12,May 25 2015 11:00:20 PM
38057,41.8276092,-88.1216708,188.85,28,Coyote - Danada 38057,1.43259E+12,May 25 2015 11:00:30 PM
38055,41.8463467,-88.1702994,193.94,26,Coyote - Cantigny 38055 (M),1.4326E+12,May 26 2015 01:00:29 AM
38057,41.8276208,-88.1216817,185.92,26,Coyote - Danada 38057,1.4326E+12,May 26 2015 01:00:47 AM
38057,41.8408783,-88.1169597,194.66,24,Coyote - Danada 38057,1.43261E+12,May 26 2015 04:00:30 AM
38055,41.8396956,-88.1594633,179.5,21,Coyote - Cantigny 38055 (M),1.43261E+12,May 26 2015 04:00:30 AM
38056,41.8460897,-88.1698764,204.81,24,Coyote - Cantigny 38056 (F),1.43261E+12,May 26 2015 04:00:54 AM
38057,41.8463014,-88.1240531,195.06,21,Coyote - Danada 38057,1.43262E+12,May 26 2015 05:01:07 AM
38055,41.8497942,-88.1476164,208.54,20,Coyote - Cantigny 38055 (M),1.43262E+12,May 26 2015 05:01:07 AM
38056,41.8458767,-88.1697928,228.24,22,Coyote - Cantigny 38056 (F),1.43262E+12,May 26 2015 05:01:12 AM
38055,41.8499031,-88.1463025,216.04,20,Coyote - Cantigny 38055 (M),1.43262E+12,May 26 2015 05:03:01 AM
38056,41.8461483,-88.1697608,185.54,22,Coyote - Cantigny 38056 (F),1.43262E+12,May 26 2015 05:03:06 AM
38057,41.8461983,-88.1240353,206.35,21,Coyote - Danada 38057,1.43262E+12,May 26 2015 05:03:08 AM
38056,41.8460639,-88.1697778,194.53,22,Coyote - Cantigny 38056 (F),1.43262E+12,May 26 2015 05:06:06 AM
38057,41.8462853,-88.1240911,200.04,21,Coyote - Danada 38057,1.43262E+12,May 26 2015 05:06:12 AM
38055,41.8532486,-88.1473064,189.34,21,Coyote - Cantigny 38055 (M),1.43262E+12,May 26 2015 05:08:44 AM
